keys;en;ru
NewGame;NEW GAME;НОВАЯ ИГРА
Continue;CONTINUE;ПРОДОЛЖИТЬ
Settings;SETTINGS;НАСТРОЙКИ
Credits;CREDITS;АВТОР
Quit;QUIT;ВЫХОД
Back;BACK;НАЗАД
OK;OK;ЛАДНО
Sounds;SOUNDS;ЗВУКИ
Music;MUSIC;МУЗЫКА
Screen;SCREEN;ЭКРАН
Fullscreen;FULLSCREEN;ВО ВЕСЬ
Yes;YES;ДА
No;NO;НЕТ
Author;"KIRILL
Kirson
KHOROBRYKH

SPECIAL FOR IGDC.ru
#175 (2021)";"КИРИЛЛ
Kirson
ХОРОБРЫХ

СПЕЦИАЛЬНО ДЛЯ IGDC.ru
#175 (2021)"
Brif;"Make it to the finish line before it rips you to pieces.

Be accurate in your jumps - this is the time.
If you have time, grab the power. ";"Доберись до финиша, прежде чем тебя разорвет на куски.

Будь точен в прыжках - это время.

Если успеешь, прихвати державу."
Done;DONE;ГОТОВО
TimeSpent;SPENT TIME;ВРЕМЕНИ ЗАТРАЧЕНО
TimeLeft;TIME LEFT;ВРЕМЕНИ ОСТАЛОСЬ
TimeBest;BEST TIME;ЛУЧШЕЕ ВРЕМЯ
TookPower;TOOK POWER;ВЗЯЛ ДЕРЖАВУ
Repeat;REPEAT;ПОВТОРИТЬ
Next;NEXT;ДАЛЬШЕ
Sec;sec.;сек.
